name,label,file,col,row,x,y,w,h
coin,金币,png/coin.png,0,0,0,0,256,256
coins,金堆,png/coins.png,1,0,256,0,256,256
egg,鸡蛋,png/egg.png,2,0,512,0,256,256
egg_basket,蛋筐,png/egg_basket.png,3,0,768,0,256,256
cake,蛋糕,png/cake.png,4,0,1024,0,256,256
stock,股票,png/stock.png,5,0,1280,0,256,256
share,股份,png/share.png,6,0,1536,0,256,256
heart,心脏,png/heart.png,7,0,1792,0,256,256
chick,小鸡,png/chick.png,0,1,0,256,256,256
hen,母鸡,png/hen.png,1,1,256,256,256,256
hatch,出壳,png/hatch.png,2,1,512,256,256,256
wolf,狼商,png/wolf.png,3,1,768,256,256,256
flock,鸡群,png/flock.png,4,1,1024,256,256,256
rotten_egg,坏蛋,png/rotten_egg.png,5,1,1280,256,256,256
buy_chick,买鸡,png/buy_chick.png,6,1,1536,256,256,256
sell_hen,卖鸡,png/sell_hen.png,7,1,1792,256,256,256
sun,太阳,png/sun.png,0,2,0,512,256,256
moon,月亮,png/moon.png,1,2,256,512,256,256
cloud,云,png/cloud.png,2,2,512,512,256,256
rain,雨,png/rain.png,3,2,768,512,256,256
clock,时钟,png/clock.png,4,2,1024,512,256,256
settings,设置,png/settings.png,5,2,1280,512,256,256
sfx,音效,png/sfx.png,6,2,1536,512,256,256
breeze,微风,png/breeze.png,7,2,1792,512,256,256
trophy,奖杯,png/trophy.png,0,3,0,768,256,256
crown,王冠,png/crown.png,1,3,256,768,256,256
gem,宝石,png/gem.png,2,3,512,768,256,256
ribbon,红绒,png/ribbon.png,3,3,768,768,256,256
check,完成,png/check.png,4,3,1024,768,256,256
alert,提示,png/alert.png,5,3,1280,768,256,256
price_up,上涨,png/price_up.png,6,3,1536,768,256,256
price_down,下跌,png/price_down.png,7,3,1792,768,256,256
